"Week Ending Date","Geographic aggregation","Hospital Reporting Days","Percent Hospital Reporting Days","Number Hospitals Reporting Adult COVID-19 Admissions","Number Hospitals Reporting Pediatric COVID-19 Admissions","Number Hospitals Reporting Influenza Admissions","Number Hospitals Reporting Prevalent Influenza Hospitalizations","Number Hospitals Reporting Hospitalized Influenza ICU Patients","Number Hospitals Reporting Inpatient Beds","Number Hospitals Reporting ICU Beds","Number Hospitals Reporting Inpatient Beds Occupied","Number Hospitals Reporting ICU Beds Occupied","Number Hospitals Reporting Percent Inpatient Bed Occupancy","Number Hospitals Reporting Percent ICU Bed Occupancy","Number Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy","Number Hospitals Reporting Percent Influenza Inpatient Bed Occupancy","Number Hospitals Reporting Percent COVID-19 ICU Bed Occupancy","Number Hospitals Reporting Percent Influenza ICU Bed Occupancy","Number Hospitals Reporting Total COVID-19 Admissions","Number Hospitals Reporting Prevalent COVID-19 Hospitalizations","Number Hospitals Reporting Hospitalized COVID-19 ICU Patients","Weekly Average Adult COVID-19 Admissions","Weekly Total Adult COVID-19 Admissions","Weekly Average Pediatric COVID-19 Admissions","Weekly Total Pediatric COVID-19 Admissions","Weekly Average COVID-19 Admissions","Weekly Total COVID-19 Admissions","Weekly Average Influenza Admissions","Weekly Total Influenza Admissions","Weekly Average Prevalent COVID-19 Hospitalizations","Weekly Average Prevalent Influenza Hospitalizations","Weekly Average Hospitalized COVID-19 ICU Patients","Weekly Average Hospitalized Influenza ICU Patients","Weekly Average Inpatient Beds","Weekly Average ICU Beds","Weekly Average Inpatient Beds Occupied","Weekly Average ICU Beds Occupied","Weekly Average Percent Inpatient Bed Occupancy","Weekly Average Percent ICU Bed Occupancy","Weekly Average Percent COVID-19 Inpatient Bed Occupancy","Weekly Average Percent Influenza Inpatient Bed Occupancy","Weekly Average Percent COVID-19 ICU Bed Occupancy","Weekly Average Percent Influenza ICU Bed Occupancy","Percent Adult COVID-19 Admissions","Percent Pediatric COVID-19 Admissions","Percent Hospitals Reporting Adult COVID-19 Admissions","Percent Hospitals Reporting Pediatric COVID-19 Admissions","Percent Hospitals Reporting Influenza Admissions","Percent Hospitals Reporting Prevalent Influenza Hospitalizations","Percent Hospitals Reporting Hospitalized Influenza ICU Patients","Percent Hospitals Reporting Inpatient Beds","Percent Hospitals Reporting ICU Beds","Percent Hospitals Reporting Inpatient Beds Occupied","Percent Hospitals Reporting ICU Beds Occupied","Percent Hospitals Reporting Percent Inpatient Bed Occupancy","Percent Hospitals Reporting Percent ICU Bed Occupancy","Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy","Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy","Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy","Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy","Percent Hospitals Reporting Total COVID-19 Admissions","Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations","Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients","Absolute Change in the Percent Hospitals Reporting Adult COVID-19 Admissions from Prior Week","Absolute Change in the Percent Hospitals Reporting Pediatric COVID-19 Admissions from Prior Week","Absolute Change in the Percent Hospitals Reporting Influenza Admissions from Prior Week ","Absolute Change in the Percent Hospitals Reporting Prevalent Influenza Hospitalizations from Prior Week ","Absolute Change in the Percent Hospitals Reporting Hospitalized Influenza ICU Patients from Prior Week ","Absolute Change in the Percent Hospitals Reporting Inpatient Beds from Prior Week ","Absolute Change in the Percent Hospitals Reporting ICU Beds from Prior Week ","Absolute Change in the Percent Hospitals Reporting Inpatient Beds Occupied from Prior Week ","Absolute Change in the Percent Hospitals Reporting ICU Beds Occupied from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Total COVID-19 Admissions from Prior Week ","Absolute Change in the Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations from Prior Week ","Absolute Change in the Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients from Prior Week "
"2024-06-29","MI","684","70.30%","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","13.71","96","0.43","3","14.14","99","1.57","11","90.71","10.29","5.57","1.71","15,289.14","2,251.43","11,908","1,740","77.71%","77.22%","0.59%","0.07%","0.24%","0.08%","96.97%","3.03%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","79.86%","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63","8.63"
"2024-07-06","MI","672","69.06%","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","22.57","158","0.57","4","23.14","162","1","7","107.71","6.29","11","0.57","14,515.71","2,141.29","10,883.71","1,620.86","74.91%","75.75%","0.74%","0.04%","0.50%","0.03%","97.53%","2.47%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44"
"2024-07-13","MI","710","72.97%","114","114","114","114","114","114","114","114","114","114","114","114","114","114","114","114","114","114","22.43","157","1.14","8","23.57","165","1.29","9","148.29","6.86","15","0.57","15,612.86","2,281.86","12,140","1,759.57","77.69%","77.11%","0.95%","0.04%","0.66%","0.02%","95.15%","4.85%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","82.01%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2024-07-20","MI","672","69.06%","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","22.43","157","0.86","6","23.29","163","1.14","8","155.14","7.29","17.57","1.86","14,131.71","2,126.57","10,878.71","1,606.29","76.93%","75.51%","1.10%","0.05%","0.83%","0.08%","96.32%","3.68%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2024-07-27","MI","661","67.93%","109","109","109","109","109","109","109","109","109","109","109","109","109","109","109","109","109","109","27.43","192","2.43","17","29.86","209","1","7","172.71","8.71","22.43","1.14","13,874.43","2,106.29","10,737","1,569.57","77.19%","74.51%","1.24%","0.06%","1.06%","0.06%","91.87%","8.13%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88","-2.88"
"2024-08-03","MI","677","69.58%","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","35.57","249","1.86","13","37.43","262","0.29","2","234.43","5.71","19","0","14,538.86","2,158.71","11,288.71","1,597.71","77.49%","74.06%","1.62%","0.04%","0.90%","0.00%","95.04%","4.96%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16"
"2024-08-10","MI","621","63.82%","110","110","110","110","110","109","109","109","109","109","109","109","109","109","109","110","109","109","34.57","242","1.86","13","36.43","255","0.71","5","237.86","4","17.86","0","12,924.57","1,950.29","9,889.57","1,441.57","76.33%","73.88%","1.85%","0.03%","0.91%","0.00%","94.90%","5.10%","79.14%","79.14%","79.14%","79.14%","79.14%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","78.42%","79.14%","78.42%","78.42%","-1.44","-1.44","-1.44","-1.44","-1.44","-2.16","-2.16","-2.16","-2.16","-2.16","-2.16","-2.16","-2.16","-2.16","-2.16","-1.44","-2.16","-2.16"
"2024-08-17","MI","634","65.16%","103","103","103","103","103","103","103","103","103","103","103","103","103","103","103","103","103","103","45.71","320","1.43","10","47.14","330","1.29","9","308.86","4.71","22.86","0","13,875.43","2,103.14","10,604.57","1,513","76.36%","72.05%","2.23%","0.03%","1.07%","0.00%","96.97%","3.03%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","74.10%","-5.04","-5.04","-5.04","-5.04","-5.04","-4.32","-4.32","-4.32","-4.32","-4.32","-4.32","-4.32","-4.32","-4.32","-4.32","-5.04","-4.32","-4.32"
"2024-08-24","MI","624","64.13%","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","49.29","345","4.29","30","53.57","375","1.71","12","307.86","3.71","31.14","0.86","13,406.29","2,062","10,228.71","1,487.71","76.21%","72.26%","2.29%","0.03%","1.51%","0.04%","92.00%","8.00%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","74.82%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2024-08-31","MI","689","70.81%","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","61.86","433","2.43","17","64.29","450","1.43","10","357.57","2.86","37.14","0.14","15,564.86","2,305.14","12,034","1,650.14","77.07%","71.56%","2.29%","0.02%","1.60%","0.01%","96.22%","3.78%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76","5.76"
"2024-09-07","MI","674","69.27%","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","55","385","2","14","57","399","1.29","9","344.14","6.57","36.57","0.43","15,056.14","2,202.86","11,460.86","1,555.57","76.06%","70.60%","2.27%","0.04%","1.64%","0.02%","96.49%","3.51%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-09-14","MI","712","73.18%","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","67.57","473","3.14","22","70.71","495","2.29","16","383.43","4","45.43","0.71","16,133","2,347.71","12,493.71","1,668.29","77.28%","71.10%","2.37%","0.03%","1.93%","0.03%","95.56%","4.44%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","81.30%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2024-09-21","MI","688","70.71%","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","112","63.86","447","2.71","19","66.57","466","1.57","11","388.43","7.29","45.71","1.57","14,947.43","2,201.57","11,690.57","1,604","77.98%","72.84%","2.60%","0.05%","2.05%","0.07%","95.92%","4.08%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","80.58%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2024-09-28","MI","658","67.63%","117","117","117","117","117","116","117","116","117","116","117","116","116","117","117","117","116","117","49","343","2.43","17","51.43","360","1.29","9","330.14","6","39.43","1.86","13,651.14","2,059.71","10,621.29","1,527.14","77.54%","73.79%","2.42%","0.05%","1.92%","0.09%","95.28%","4.72%","84.17%","84.17%","84.17%","84.17%","84.17%","83.45%","84.17%","83.45%","84.17%","83.45%","84.17%","83.45%","83.45%","84.17%","84.17%","84.17%","83.45%","84.17%","3.6","3.6","3.6","3.6","3.6","2.88","3.6","2.88","3.6","2.88","3.6","2.88","2.88","3.6","3.6","3.6","2.88","3.6"
"2024-10-05","MI","664","68.24%","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","46.14","323","1.71","12","47.86","335","1.71","12","322.14","5.57","47.71","1.29","14,539.71","2,118.14","11,230.29","1,541.86","76.99%","72.93%","2.21%","0.04%","2.25%","0.06%","96.42%","3.58%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","79.14%","-5.04","-5.04","-5.04","-5.04","-5.04","-4.32","-5.04","-4.32","-5.04","-4.32","-5.04","-4.32","-4.32","-5.04","-5.04","-5.04","-4.32","-5.04"
